# Compile-pressure guardrails are local observations plus explicit headroom.
# Limit = observed + headroom. This is not a runtime capacity or public contract.
label	observed_seconds	observed_rss_mib	seconds_headroom	rss_headroom_mib
final_form_gate	134	903	46	57
cold_parallel_route_nesting	9	834	31	190
offer_branch_recv_evidence	2	228	30	256
parallel_route_nesting	2	228	30	256
parallel_route_alternating	2	228	30	256
huge_choreography_runtime	2	228	30	256
message_heavy_1	1	87	15	128
message_heavy_64	1	98	15	128
message_heavy_256	5	144	20	256
route_arm_heavy_1	1	4	15	128
route_arm_heavy_64	1	99	15	128
route_arm_heavy_256	3	153	20	256
causal_handoff_4	1	1	15	128
causal_handoff_64	1	83	15	128
causal_handoff_256	1	117	15	128
